coaltypecode,economytypecode,standardclass,transmitstyle,grime_explosive,coalstatecode,design_output,proved_output,mine_waterburst,mine_waterburst_max,target
1.0,0.8333333333333334,0.25,0.0,0.0,0.375,1.6666666666666666E-4,4.4444444444444447E-5,0.002103602419142782,7.344948144666099E-4,0.0
1.0,0.8333333333333334,0.125,0.11235955056179775,0.0,0.25,1.6666666666666666E-4,1.6666666666666666E-4,0.024191427820141994,0.004113170961013015,0.0
0.0,0.0,0.0,0.009918962954005555,0.0,0.25,4.852868716182251E-4,5.088278770290649E-4,0.07190033112853196,0.02700767992893691,1.0
1.0,0.5385431683485502,0.408881069214876,0.449438202247191,0.0,1.0,4.4444444444444447E-5,4.4444444444444447E-5,0.01850467881024411,0.004015202068390937,0.0
0.0,0.0,0.408881069214876,0.0,0.0,1.0,0.001,8.3515320264389E-4,0.01850467881024411,0.004015202068390937,0.0
0.0,0.0,0.046359165452721986,0.0,0.0,0.25,0.00229579334304489,0.00229579334304489,0.01854947835421741,0.002477257873471756,1.0
1.0,0.8333333333333334,0.25,0.3189503896514765,0.09423128852788099,0.25,9.4621948929938E-5,9.4621948929938E-5,0.00814264046738194,0.0016973170920705461,1.0
1.0,0.8333333333333334,1.0,0.0,0.11235955056179775,1.0,1.6666666666666666E-4,1.6666666666666666E-4,0.0,0.0,0.0
0.12155829271902334,0.10129857726585266,0.125,0.0,0.013658235136968894,0.375,0.0012117750406143103,9.189611381873177E-4,0.0012610677708486814,2.5599317677216254E-4,1.0
0.26136889168227934,0.2178074097352327,0.0,0.08299225936154163,0.0,0.25,5.947022250156127E-4,7.916705205670047E-4,0.07476207700217359,0.023296151039981353,1.0
0.9167741137445795,0.694623522907632,0.20838705687228964,0.14976444326086316,0.09365710421226504,0.25,1.2219356966811218E-4,1.943226710894768E-4,4.3836351695459306E-4,2.693842143073933E-4,1.0
1.0,0.8333333333333334,1.0,0.0,0.0,0.125,3.333333333333333E-4,0.0,0.0026295030239284773,4.406968886799659E-4,0.0
0.7650948091685364,0.441824681947561,0.125,0.052787683332913116,0.11235955056179775,0.25,4.899367938876423E-4,4.899367938876423E-4,0.017405827299961263,0.00444837768149334,1.0
1.0,0.8333333333333334,0.25,0.449438202247191,0.11235955056179775,0.625,6.666666666666667E-5,6.666666666666667E-5,0.005259006047856955,0.0014689896289332197,0.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.0,0.375,1.6666666666666666E-4,4.4444444444444447E-5,0.005259006047856955,0.0010282927402532538,0.0
1.0,0.8333333333333334,0.25,0.449438202247191,0.0,0.5,6.666666666666667E-5,8.888888888888889E-5,0.001051801209571391,2.3503834062931517E-4,0.0
0.5,0.0,1.0,0.0,1.0,0.375,0.001,8.3515320264389E-4,0.0060478569550354985,7.344948144666099E-4,0.0
1.0,0.8333333333333334,0.25,0.016842471135705677,0.11235955056179775,0.35,3.083503344820367E-4,6.27653102687287E-5,0.00726920790126132,0.001101592374633164,1.0
0.9777208325360626,0.5385431683485502,0.408881069214876,0.11736610504807587,0.0,0.6125,6.666666666666667E-5,6.666666666666667E-5,0.01850467881024411,0.004015202068390937,1.0
0.5,0.0,1.0,0.0,0.0,0.5,1.6666666666666666E-4,1.6666666666666666E-4,0.00578490665264265,0.0014102300437758908,0.0
0.5,0.0,0.0,0.0,0.0,0.25,0.0016666666666666668,0.002264309088743801,0.00641970693335188,0.001755122281559746,1.0
1.0,0.8333333333333334,0.125,0.449438202247191,0.11235955056179775,0.25,6.666666666666667E-5,6.666666666666667E-5,0.015514067841178017,0.0034668155242823986,0.0
1.0,0.8333333333333334,0.2425874841178944,0.9770128720959421,0.10902808274961545,0.3625,3.303683269804911E-4,6.918348156631885E-6,0.018133643906522542,0.0037496840179136294,1.0
1.0,0.8333333333333334,0.25,0.0,0.11235955056179775,0.25,1.6666666666666666E-4,1.6666666666666666E-4,0.007888509071785432,0.0026441813320797953,0.0
0.3115908929188048,0.0,0.7173863393782073,0.0,0.042339125186785447,0.325,0.0025796969050085527,9.178788094415935E-4,0.030384026615656586,0.00645757146675125,1.0
1.0,0.5385431683485502,0.408881069214876,0.11235955056179775,0.0,0.625,6.666666666666667E-5,1.3333333333333334E-4,0.01850467881024411,0.004015202068390937,0.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.11235955056179775,0.25,1.0326722897576128E-4,1.0E-4,0.0010260276441564978,2.3071876769664606E-4,1.0
1.0,0.5385431683485502,0.408881069214876,1.0,0.0,0.125,6.666666666666666E-4,8.3515320264389E-4,0.01850467881024411,0.004015202068390937,0.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.0,0.25,1.0E-4,1.0E-4,0.007888509071785432,0.0014689896289332197,0.0
1.0,0.8333333333333334,0.25,0.33707865168539325,0.11235955056179775,0.375,6.666666666666667E-5,6.666666666666667E-5,0.004470155140678412,9.107735699385962E-4,0.0
1.0,0.8333333333333334,1.0,0.33707865168539325,0.0,0.25,6.666666666666666E-4,6.666666666666666E-4,0.01850467881024411,0.004015202068390937,0.0
0.0,0.0,0.25,0.0,0.11235955056179775,0.125,3.333333333333333E-4,3.333333333333333E-4,0.20141993163292138,0.09007844404618504,0.0
0.5365437895130217,0.8333333333333334,0.009135947378255405,0.07308757902604325,0.008212087531016094,0.25,5.0E-4,0.0010243625263420143,0.009883078723432862,0.0032890358118273307,1.0
1.0,0.08333333333333333,0.125,0.11235955056179775,0.0,0.25,2.3333333333333333E-4,2.3333333333333333E-4,0.007888509071785432,0.0014689896289332197,0.0
1.0,0.8333333333333334,0.25,0.0,0.0,0.25,1.6666666666666666E-4,1.6666666666666666E-4,0.007888509071785432,0.0013220906660398977,0.0
1.0,0.8333333333333334,0.25,0.0,0.0,0.375,3.333333333333333E-4,3.333333333333333E-4,0.003944254535892716,5.875958515732879E-4,0.0
0.5,0.5385431683485502,0.408881069214876,0.0,0.0,1.0,0.001,0.001,0.0,0.0,0.0
1.0,0.8333333333333334,1.0,0.0,0.11235955056179775,0.125,5.0E-4,0.0,0.0,0.0,0.0
0.5,0.0,0.125,0.054944851088230495,0.0,0.1375,5.815015291142086E-4,5.815015291142086E-4,0.017977904132978128,0.0027751533924915187,1.0
1.0,0.8333333333333334,0.25,0.449438202247191,0.11235955056179775,1.0,6.666666666666667E-5,6.666666666666667E-5,0.011832763607678149,0.0022622440285571584,0.0
0.5,0.0,0.125,0.0,0.0,0.25,3.333333333333333E-4,3.333333333333333E-4,2.6295030239284776E-4,8.813937773599318E-5,0.0
0.4293470498474184,0.0,0.1073367624618546,0.09648248311177941,0.0,0.25,0.0016195646998982789,0.00180797256697183,0.015019613069833675,0.0024749295475263652,1.0
1.0,0.5385431683485502,0.408881069214876,0.11235955056179775,0.0,0.625,6.666666666666667E-5,6.666666666666667E-5,0.01850467881024411,0.004015202068390937,0.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.06470127361642009,0.25,8.988782197518148E-5,9.628605903280522E-5,0.002183372427227072,5.947748247284191E-4,1.0
