id,insp_result_code,hs_code,ent_property,consignor_code,trade_mode_code,purpose_code,trade_country_code,prod_reg_no
2283,1.0,0.007501000000000001,0.004482,0.000993,0.0049700000000000005,0.009394,0.00186,0.009756
3133,0.0,0.0,0.007215999999999999,0.004657,0.0049700000000000005,0.001506,0.009672,0.003636
5181,0.0,0.00043499999999999995,0.001301,0.0,0.0049700000000000005,0.001506,0.014853,0.0
1601,1.0,0.09607,0.004482,0.033888999999999996,0.0049700000000000005,0.015571999999999999,0.02437,0.037956000000000004
3643,0.0,7.2e-05,0.001301,0.0,0.000724,0.001506,0.00186,0.0
5498,0.0,0.0027,0.004482,0.0,0.0049700000000000005,0.001506,0.0045049999999999995,0.0
2499,1.0,0.020713,0.004482,0.01654,0.0049700000000000005,0.015571999999999999,0.003283,0.016437
5101,0.0,0.00014199999999999998,0.001516,0.000133,0.0049700000000000005,0.001506,0.00183,0.0
2727,1.0,0.0005,0.007215999999999999,0.000859,0.0049700000000000005,0.001506,0.002478,0.008197
2950,0.0,0.0,0.001516,0.0,0.000724,0.001506,0.005453,0.0
4861,0.0,0.00038199999999999996,0.001516,0.0,2.8000000000000003e-05,0.001506,0.002478,0.0
5100,0.0,0.00038199999999999996,0.001516,0.0,2.8000000000000003e-05,0.001506,0.002478,0.0
2719,1.0,0.0011099999999999999,0.007215999999999999,0.010333,0.0049700000000000005,0.001506,0.00183,0.3
5514,0.0,0.000336,0.001516,0.0,0.0049700000000000005,0.001506,0.00183,0.0
429,1.0,0.016256,0.001516,0.033569,0.0049700000000000005,0.015571999999999999,0.004224,0.027818
3441,0.0,0.00038199999999999996,0.001516,0.00018700000000000002,0.0049700000000000005,0.001506,0.00183,0.0
5386,0.0,0.0014349999999999999,0.008799,0.0,0.0049700000000000005,0.001506,0.001317,0.0
4795,0.0,0.0028539999999999998,0.008799,0.0,0.0049700000000000005,0.001506,0.000802,0.0
867,1.0,0.047992,0.007215999999999999,0.047619,0.0049700000000000005,0.001506,0.005164,0.024985
443,1.0,0.027933,0.008799,0.340909,0.0049700000000000005,0.015571999999999999,0.014853,0.340909
4314,0.0,0.0005,0.004482,0.0,0.0049700000000000005,0.001506,0.00183,0.0
4766,0.0,0.00036899999999999997,0.001301,0.001235,0.000724,0.001506,0.0009939999999999999,0.001235
3245,0.0,0.004108,0.008799,0.000935,0.0049700000000000005,0.015571999999999999,0.005453,0.001007
2194,1.0,0.051724,0.004482,0.044444,0.0049700000000000005,0.015571999999999999,0.005525,0.06264
